config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,2,0.8581,0.8621,0.8544,0.7569,0.8866,29,cad2392-dirty,WET,0.7809,0.8085,0.7944,0.6589,2521084
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,2,0.8581,0.8621,0.8544,0.7569,0.8866,29,cad2392-dirty,UPL,0.9279,0.9157,0.9217,0.8549,6785028
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,3,0.8215,0.83125,0.8141499999999999,0.7025,0.846,29,cad2392-dirty,WET,0.7202,0.7943,0.7554,0.6069,4511978
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,3,0.8215,0.83125,0.8141499999999999,0.7025,0.846,29,cad2392-dirty,UPL,0.9081,0.8682,0.8877,0.798,10561302
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,4,0.8015,0.8220000000000001,0.789,0.6761,0.8331,29,cad2392-dirty,WET,0.66,0.7976,0.7223,0.5653,3994168
nwiextra_chmret_leafoff,nwiextra,chmret,leafoff,chmret_leafoff,4,0.8015,0.8220000000000001,0.789,0.6761,0.8331,29,cad2392-dirty,UPL,0.918,0.8464,0.8807,0.7869,10685896
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,0,0.8177,0.84685,0.8039499999999999,0.6965,0.84,29,cad2392-dirty,WET,0.6694,0.8627,0.7539,0.605,2494572
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,0,0.8177,0.84685,0.8039499999999999,0.6965,0.84,29,cad2392-dirty,UPL,0.9385,0.831,0.8815,0.788,6287252
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,1,0.8471,0.8639,0.8352999999999999,0.7396,0.8712,29,cad2392-dirty,WET,0.7338,0.8474,0.7865,0.6481,4221055
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,1,0.8471,0.8639,0.8352999999999999,0.7396,0.8712,29,cad2392-dirty,UPL,0.9368,0.8804,0.9078,0.8311,10852225
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,2,0.8694,0.878,0.862,0.7735,0.8945,29,cad2392-dirty,WET,0.7844,0.842,0.8122,0.6838,2521084
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,2,0.8694,0.878,0.862,0.7735,0.8945,29,cad2392-dirty,UPL,0.9396,0.914,0.9267,0.8633,6785028
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,3,0.8328,0.8181499999999999,0.85395,0.7205,0.8664,29,cad2392-dirty,WET,0.8288,0.6979,0.7577,0.61,4511978
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,3,0.8328,0.8181499999999999,0.85395,0.7205,0.8664,29,cad2392-dirty,UPL,0.8791,0.9384,0.9078,0.8311,10561302
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,4,0.8419,0.8618,0.8286,0.7324,0.8681,29,cad2392-dirty,WET,0.7181,0.848,0.7777,0.6362,3994168
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,4,0.8419,0.8618,0.8286,0.7324,0.8681,29,cad2392-dirty,UPL,0.9391,0.8756,0.9062,0.8285,10685896
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,0,0.7975,0.8228500000000001,0.78505,0.6692,0.8231,29,cad2392-dirty,WET,0.649,0.8221,0.7253,0.569,2494572
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,0,0.7975,0.8228500000000001,0.78505,0.6692,0.8231,29,cad2392-dirty,UPL,0.9211,0.8236,0.8696,0.7693,6287252
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,1,0.84,0.83375,0.8471,0.731,0.8734,29,cad2392-dirty,WET,0.7916,0.7437,0.7669,0.622,4221055
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,1,0.84,0.83375,0.8471,0.731,0.8734,29,cad2392-dirty,UPL,0.9026,0.9238,0.9131,0.8401,10852225
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,2,0.8585,0.85785,0.85915,0.7578,0.8884,29,cad2392-dirty,WET,0.7957,0.7912,0.7934,0.6576,2521084
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,2,0.8585,0.85785,0.85915,0.7578,0.8884,29,cad2392-dirty,UPL,0.9226,0.9245,0.9236,0.858,6785028
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,3,0.8186,0.8005,0.84825,0.7015,0.8576,29,cad2392-dirty,WET,0.8306,0.6584,0.7345,0.5804,4511978
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,3,0.8186,0.8005,0.84825,0.7015,0.8576,29,cad2392-dirty,UPL,0.8659,0.9426,0.9027,0.8226,10561302
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,4,0.8492,0.85235,0.84615,0.7439,0.8794,29,cad2392-dirty,WET,0.7706,0.7929,0.7816,0.6415,3994168
flddeg_chmret_leafoff,flddeg,chmret,leafoff,chmret_leafoff,4,0.8492,0.85235,0.84615,0.7439,0.8794,29,cad2392-dirty,UPL,0.9217,0.9118,0.9167,0.8463,10685896
