config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,3,0.632,0.6622,0.618125,0.4854,0.8052,22,unknown,FSW,0.6048,0.7324,0.6625,0.4954,1517832
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,3,0.632,0.6622,0.618125,0.4854,0.8052,22,unknown,SSW,0.3857,0.5865,0.4653,0.3032,317108
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,3,0.632,0.6622,0.618125,0.4854,0.8052,22,unknown,UPL,0.9139,0.8639,0.8882,0.7989,6765731
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,4,0.6541,0.68245,0.640675,0.5094,0.8174,22,unknown,EMW,0.5658,0.6982,0.6251,0.4546,549262
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,4,0.6541,0.68245,0.640675,0.5094,0.8174,22,unknown,FSW,0.5379,0.7399,0.6229,0.4523,1170508
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,4,0.6541,0.68245,0.640675,0.5094,0.8174,22,unknown,SSW,0.5188,0.4134,0.4601,0.2988,623619
fld_chmret_leafon,fld,chmret,leafon,chmret_leafon,4,0.6541,0.68245,0.640675,0.5094,0.8174,22,unknown,UPL,0.9402,0.8783,0.9082,0.8318,6700579
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.6705,0.695225,0.6646,0.5229,0.7669,26,unknown,EMW,0.5564,0.839,0.669,0.5027,621544
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.6705,0.695225,0.6646,0.5229,0.7669,26,unknown,FSW,0.6707,0.6937,0.682,0.5175,966100
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.6705,0.695225,0.6646,0.5229,0.7669,26,unknown,SSW,0.525,0.4068,0.4584,0.2973,566727
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,0,0.6705,0.695225,0.6646,0.5229,0.7669,26,unknown,UPL,0.9063,0.8414,0.8726,0.7741,3088482
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6729,0.707425,0.669125,0.5177,0.7453,26,unknown,EMW,0.4314,0.7702,0.553,0.3822,532418
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6729,0.707425,0.669125,0.5177,0.7453,26,unknown,FSW,0.6719,0.7407,0.7047,0.544,1459626
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6729,0.707425,0.669125,0.5177,0.7453,26,unknown,SSW,0.678,0.535,0.5981,0.4266,662690
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,1,0.6729,0.707425,0.669125,0.5177,0.7453,26,unknown,UPL,0.8952,0.7838,0.8358,0.718,3440085
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.6013,0.637775,0.5868249999999999,0.4477,0.6994,26,unknown,EMW,0.3203,0.5568,0.4067,0.2552,424418
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.6013,0.637775,0.5868249999999999,0.4477,0.6994,26,unknown,FSW,0.6014,0.7197,0.6553,0.4873,1327131
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.6013,0.637775,0.5868249999999999,0.4477,0.6994,26,unknown,SSW,0.5241,0.5249,0.5245,0.3555,793850
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,2,0.6013,0.637775,0.5868249999999999,0.4477,0.6994,26,unknown,UPL,0.9015,0.7497,0.8186,0.6929,3418375
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,3,0.6778,0.679025,0.6898,0.5332,0.8373,26,unknown,EMW,0.7485,0.573,0.6491,0.4805,639905
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,3,0.6778,0.679025,0.6898,0.5332,0.8373,26,unknown,FSW,0.678,0.6221,0.6489,0.4802,1517832
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,3,0.6778,0.679025,0.6898,0.5332,0.8373,26,unknown,SSW,0.4312,0.5993,0.5015,0.3347,317108
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,3,0.6778,0.679025,0.6898,0.5332,0.8373,26,unknown,UPL,0.9015,0.9217,0.9115,0.8374,6765731
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,4,0.6262,0.6607999999999999,0.6316999999999999,0.4823,0.7994,26,unknown,EMW,0.5629,0.6525,0.6044,0.4331,549262
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,4,0.6262,0.6607999999999999,0.6316999999999999,0.4823,0.7994,26,unknown,FSW,0.4764,0.8203,0.6027,0.4314,1170508
fld_chmret_leafoff,fld,chmret,leafoff,chmret_leafoff,4,0.6262,0.6607999999999999,0.6316999999999999,0.4823,0.7994,26,unknown,SSW,0.5391,0.3177,0.3998,0.2499,623619
