config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafoff,2,SSW,3,4,shoulder,5.26820849700016e-06
fld_chmret_leafoff,2,SSW,4,5,spur,1.1305546649964526e-05
fld_chmret_leafoff,2,SSW,5,6,slope,4.052563599543646e-05
fld_chmret_leafoff,2,SSW,6,7,hollow,1.2462941413105e-05
fld_chmret_leafoff,2,SSW,7,8,footslope,1.849285399657674e-05
fld_chmret_leafoff,2,SSW,8,9,valley,1.6859721654327586e-05
fld_chmret_leafoff,2,SSW,9,10,pit,3.372816763658193e-06
fld_chmret_leafoff,2,UPL,0,1,flat,3.221835504518822e-05
fld_chmret_leafoff,2,UPL,1,2,peak,3.694863380587776e-06
fld_chmret_leafoff,2,UPL,2,3,ridge,1.0961805855913553e-05
fld_chmret_leafoff,2,UPL,3,4,shoulder,5.7974880292022135e-06
fld_chmret_leafoff,2,UPL,4,5,spur,1.305205387325259e-05
fld_chmret_leafoff,2,UPL,5,6,slope,4.7392626584041864e-05
fld_chmret_leafoff,2,UPL,6,7,hollow,1.3826087524648756e-05
fld_chmret_leafoff,2,UPL,7,8,footslope,1.888253609649837e-05
fld_chmret_leafoff,2,UPL,8,9,valley,1.9099075871054083e-05
fld_chmret_leafoff,2,UPL,9,10,pit,4.5993010644451715e-06
fld_chmret_leafoff,2,overall,0,1,flat,3.065640339627862e-05
fld_chmret_leafoff,2,overall,1,2,peak,2.9611521767947124e-06
fld_chmret_leafoff,2,overall,2,3,ridge,9.599525583325885e-06
fld_chmret_leafoff,2,overall,3,4,shoulder,5.0770872803695966e-06
fld_chmret_leafoff,2,overall,4,5,spur,1.1857672689075116e-05
fld_chmret_leafoff,2,overall,5,6,slope,4.052880103699863e-05
fld_chmret_leafoff,2,overall,6,7,hollow,1.3022411621932406e-05
fld_chmret_leafoff,2,overall,7,8,footslope,1.9374907424207777e-05
fld_chmret_leafoff,2,overall,8,9,valley,1.987830182770267e-05
fld_chmret_leafoff,2,overall,9,10,pit,4.817108674615156e-06
fld_chmret_leafoff,3,EMW,0,1,flat,1.6184170817723498e-05
fld_chmret_leafoff,3,EMW,1,2,peak,1.175803959085897e-06
fld_chmret_leafoff,3,EMW,2,3,ridge,5.35779190613539e-06
fld_chmret_leafoff,3,EMW,3,4,shoulder,4.686427018896211e-06
fld_chmret_leafoff,3,EMW,4,5,spur,6.339837909763446e-06
fld_chmret_leafoff,3,EMW,5,6,slope,1.6875288565643132e-05
fld_chmret_leafoff,3,EMW,6,7,hollow,7.476221981050912e-06
fld_chmret_leafoff,3,EMW,7,8,footslope,1.1965543308178894e-05
fld_chmret_leafoff,3,EMW,8,9,valley,1.2869098100054543e-05
fld_chmret_leafoff,3,EMW,9,10,pit,3.0509813768730965e-06
fld_chmret_leafoff,3,FSW,0,1,flat,2.4990620659082197e-05
fld_chmret_leafoff,3,FSW,1,2,peak,3.6175897548673674e-06
fld_chmret_leafoff,3,FSW,2,3,ridge,9.888881322694942e-06
fld_chmret_leafoff,3,FSW,3,4,shoulder,9.536963261780329e-06
fld_chmret_leafoff,3,FSW,4,5,spur,1.8698225176194683e-05
fld_chmret_leafoff,3,FSW,5,6,slope,3.460585867287591e-05
fld_chmret_leafoff,3,FSW,6,7,hollow,1.550573688291479e-05
fld_chmret_leafoff,3,FSW,7,8,footslope,1.9394519767956808e-05
fld_chmret_leafoff,3,FSW,8,9,valley,2.138263880624436e-05
fld_chmret_leafoff,3,FSW,9,10,pit,5.3936319091008045e-06
fld_chmret_leafoff,3,SSW,0,1,flat,2.3638584025320597e-05
fld_chmret_leafoff,3,SSW,1,2,peak,2.1937835299468134e-06
fld_chmret_leafoff,3,SSW,2,3,ridge,9.130416401603725e-06
fld_chmret_leafoff,3,SSW,3,4,shoulder,8.02442264102865e-06
fld_chmret_leafoff,3,SSW,4,5,spur,1.1297428500256501e-05
fld_chmret_leafoff,3,SSW,5,6,slope,2.86368540400872e-05
fld_chmret_leafoff,3,SSW,6,7,hollow,1.1066252227465156e-05
fld_chmret_leafoff,3,SSW,7,8,footslope,1.6162135580088943e-05
fld_chmret_leafoff,3,SSW,8,9,valley,1.5551924661849625e-05
fld_chmret_leafoff,3,SSW,9,10,pit,2.870949401767575e-06
fld_chmret_leafoff,3,UPL,0,1,flat,2.696778392419219e-05
fld_chmret_leafoff,3,UPL,1,2,peak,3.825230123766232e-06
fld_chmret_leafoff,3,UPL,2,3,ridge,1.3292299627210014e-05
fld_chmret_leafoff,3,UPL,3,4,shoulder,1.2236540896992665e-05
fld_chmret_leafoff,3,UPL,4,5,spur,1.8556798750068992e-05
fld_chmret_leafoff,3,UPL,5,6,slope,4.087769048055634e-05
fld_chmret_leafoff,3,UPL,6,7,hollow,1.3873647731088568e-05
fld_chmret_leafoff,3,UPL,7,8,footslope,1.8200968042947352e-05
fld_chmret_leafoff,3,UPL,8,9,valley,2.1126612409716472e-05
fld_chmret_leafoff,3,UPL,9,10,pit,5.05343496115529e-06
fld_chmret_leafoff,3,overall,0,1,flat,2.294528894708492e-05
fld_chmret_leafoff,3,overall,1,2,peak,2.703101927181706e-06
fld_chmret_leafoff,3,overall,2,3,ridge,9.417346518603154e-06
fld_chmret_leafoff,3,overall,3,4,shoulder,8.621088454674464e-06
fld_chmret_leafoff,3,overall,4,5,spur,1.3723072697757743e-05
fld_chmret_leafoff,3,overall,5,6,slope,3.0248922485043295e-05
fld_chmret_leafoff,3,overall,6,7,hollow,1.1980464478256181e-05
fld_chmret_leafoff,3,overall,7,8,footslope,1.643079122004565e-05
fld_chmret_leafoff,3,overall,8,9,valley,1.7732567357597873e-05
fld_chmret_leafoff,3,overall,9,10,pit,4.092249128007097e-06
fld_chmret_leafoff,4,EMW,0,1,flat,3.694643237395212e-05
fld_chmret_leafoff,4,EMW,1,2,peak,1.8724033452599542e-06
fld_chmret_leafoff,4,EMW,2,3,ridge,6.917645805515349e-06
fld_chmret_leafoff,4,EMW,3,4,shoulder,4.577682375384029e-06
fld_chmret_leafoff,4,EMW,4,5,spur,9.903614227368962e-06
fld_chmret_leafoff,4,EMW,5,6,slope,2.3661181330680847e-05
fld_chmret_leafoff,4,EMW,6,7,hollow,1.1625985280261375e-05
fld_chmret_leafoff,4,EMW,7,8,footslope,1.7528172975289635e-05
fld_chmret_leafoff,4,EMW,8,9,valley,1.964580951607786e-05
fld_chmret_leafoff,4,EMW,9,10,pit,2.9517723305616528e-06
fld_chmret_leafoff,4,FSW,0,1,flat,4.101451122551225e-05
fld_chmret_leafoff,4,FSW,1,2,peak,3.7318454815249424e-06
